step,env_0,env_1,env_2,env_4,Mean reward
0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0
10,2.0,2.0,2.0,2.0,2.0
11,2.0,2.0,2.0,2.0,2.0
12,2.0,2.0,2.0,2.0,2.0
13,2.0,2.0,2.0,2.0,2.0
14,2.0,2.0,2.0,2.0,2.0
15,2.0,2.0,2.0,2.0,2.0
16,2.0,2.0,2.0,2.0,2.0
17,2.0,2.0,2.0,2.0,2.0
18,2.0,2.0,2.0,2.0,2.0
19,2.0,2.0,2.0,2.0,2.0
20,2.0,2.0,2.0,2.0,2.0
21,2.0,2.0,2.0,2.0,2.0
22,2.0,2.0,2.0,2.0,2.0
23,2.0,2.0,2.0,2.0,2.0
24,2.0,2.0,2.0,2.0,2.0
25,2.0,2.0,2.0,2.0,2.0
26,2.0,2.0,2.0,2.0,2.0
27,2.0,2.0,2.0,2.0,2.0
28,2.0,2.0,2.0,2.0,2.0
29,2.0,2.0,2.0,2.0,2.0
30,2.0,2.0,2.0,2.0,2.0
31,2.0,2.0,2.0,2.0,2.0
32,2.0,2.0,2.0,2.0,2.0
33,2.0,2.0,2.0,2.0,2.0
34,2.0,2.0,2.0,2.0,2.0
35,2.0,2.0,2.0,2.0,2.0
36,2.0,2.0,2.0,2.0,2.0
37,2.0,2.0,2.0,2.0,2.0
38,2.0,2.0,2.0,2.0,2.0
39,2.0,2.0,2.0,2.0,2.0
40,2.0,3.0,3.0,2.0,2.5
41,2.0,3.0,3.0,2.0,2.5
42,3.0,3.0,3.0,3.0,3.0
43,3.0,3.0,3.0,3.0,3.0
44,3.0,3.0,3.0,3.0,3.0
45,3.0,3.0,3.0,3.0,3.0
46,3.0,3.0,3.0,3.0,3.0
47,3.0,3.0,3.0,3.0,3.0
48,3.0,3.0,3.0,3.0,3.0
49,3.0,3.0,3.0,3.0,3.0
50,4.0,3.2,4.0,4.0,3.8
51,4.0,3.2,4.0,4.0,3.8
52,4.0,3.2,4.0,4.0,3.8
53,4.0,3.2,4.0,4.0,3.8
54,4.0,3.2,4.0,4.0,3.8
55,4.0,3.2,4.0,4.0,3.8
56,4.0,3.2,4.0,4.0,3.8
57,4.0,3.2,4.0,4.0,3.8
58,4.0,3.2,4.0,4.0,3.8
59,4.0,3.2,4.0,4.0,3.8
60,4.0,4.2,5.0,4.0,4.3
61,4.0,4.2,5.0,4.0,4.3
62,4.0,4.2,5.0,5.0,4.55
63,5.0,4.2,5.0,5.0,4.8
64,5.0,4.2,5.0,5.0,4.8
65,5.0,4.2,5.0,5.0,4.8
66,5.0,4.2,5.0,5.0,4.8
67,5.0,4.2,5.0,5.0,4.8
68,5.0,4.2,5.0,5.0,4.8
69,5.0,4.2,5.0,5.0,4.8
70,5.0,4.2,5.0,5.0,4.8
71,5.0,4.2,5.0,5.0,4.8
72,5.0,4.2,5.0,5.0,4.8
73,5.0,4.2,5.0,5.0,4.8
74,5.0,4.2,5.0,5.0,4.8
75,5.0,4.2,5.0,5.0,4.8
76,5.0,4.2,5.0,5.0,4.8
77,5.0,4.2,5.0,5.0,4.8
78,5.0,4.2,5.0,5.0,4.8
79,5.0,4.2,5.0,5.0,4.8
80,5.0,4.2,5.0,5.0,4.8
81,5.0,4.2,5.0,5.0,4.8
82,5.0,4.2,5.0,5.0,4.8
83,5.0,4.2,5.0,5.0,4.8
84,5.0,4.2,5.0,5.0,4.8
85,5.0,4.2,5.0,5.0,4.8
86,5.0,4.2,5.0,5.0,4.8
87,5.0,4.2,5.0,5.0,4.8
88,5.0,4.2,5.0,5.0,4.8
89,5.0,4.2,5.0,5.0,4.8
90,5.0,5.2,5.0,5.0,5.05
91,5.0,5.2,5.0,5.0,5.05
92,5.0,5.2,5.0,6.0,5.3
93,6.0,5.2,5.0,6.0,5.55
94,6.0,5.2,5.0,6.0,5.55
95,6.0,5.2,5.0,6.0,5.55
96,6.0,5.2,5.0,6.0,5.55
97,6.0,5.2,5.0,6.0,5.55
98,6.0,5.2,5.0,6.0,5.55
99,6.0,5.2,5.0,6.0,5.55
100,7.0,6.2,7.0,7.0,6.8
101,7.0,6.2,7.0,7.0,6.8
102,7.0,6.2,7.0,7.0,6.8
103,7.0,6.2,7.0,7.0,6.8
104,7.0,6.2,7.0,7.0,6.8
105,7.0,6.2,7.0,7.0,6.8
106,7.0,6.2,7.0,7.0,6.8
107,7.0,6.2,7.0,7.0,6.8
108,7.0,6.2,7.0,7.0,6.8
109,7.0,6.2,7.0,7.0,6.8
110,8.0,7.2,8.0,8.0,7.8
111,8.0,7.2,8.0,8.0,7.8
112,8.0,7.2,8.0,9.0,8.05
113,9.0,7.2,8.0,9.0,8.3
114,9.0,7.2,8.0,9.0,8.3
115,9.0,7.2,8.0,9.0,8.3
116,9.0,7.2,8.0,9.0,8.3
117,9.0,7.2,8.0,9.0,8.3
118,9.0,7.2,8.0,9.0,8.3
119,9.0,7.2,8.0,9.0,8.3
120,9.0,7.2,9.0,10.0,8.8
121,9.0,7.2,9.0,10.0,8.8
122,9.0,7.2,9.0,10.0,8.8
123,9.0,7.2,9.0,10.0,8.8
124,9.0,7.2,9.0,10.0,8.8
125,9.0,7.2,9.0,10.0,8.8
126,9.0,7.2,9.0,10.0,8.8
127,9.0,7.2,9.0,10.0,8.8
128,9.0,7.2,9.0,10.0,8.8
129,9.0,7.2,9.0,10.0,8.8
130,9.0,7.2,10.0,10.0,9.05
131,9.0,7.2,10.0,10.0,9.05
132,9.0,7.2,10.0,10.0,9.05
