env_0,env_1,env_2,env_3,Mean Reward
0.0,10.0,-1.0,-8.8,0.04999999999999982
12.0,-8.8,0.0,3.0,1.5499999999999998
-9.8,21.0,4.0,1.0,4.05
5.0,-9.8,-7.8,-7.8,-5.1000000000000005
6.0,-8.8,-9.8,-8.8,-5.3500000000000005
-8.8,17.0,1.0,-1.0,2.05
-8.8,15.0,2.0,-8.8,-0.15000000000000036
1.0,-9.8,5.0,-8.8,-3.1500000000000004
-1.0,-2.0,0.0,11.0,2.0
2.0,-8.8,2.0,3.0,-0.4500000000000002
7.0,-9.8,3.0,5.0,1.2999999999999998
3.0,-7.8,13.0,6.0,3.55
4.0,15.0,13.0,-8.8,5.8
-8.8,6.0,1.0,18.0,4.05
6.0,11.0,11.0,1.0,7.25
3.0,-9.8,-9.8,-7.8,-6.1000000000000005
-7.8,-9.8,-8.8,-7.8,-8.55
-2.0,22.0,2.0,2.0,6.0
0.0,2.1999999999999993,-7.8,4.0,-0.40000000000000013
3.0,-7.8,-4.0,2.0,-1.7000000000000002
19.0,8.0,-8.8,6.0,6.05
15.0,-7.8,6.0,7.0,5.05
12.0,7.0,10.0,-2.0,6.75
15.0,-8.8,5.0,-8.8,0.5999999999999996
-8.8,-8.8,5.0,-8.8,-5.3500000000000005
12.2,-8.8,9.0,5.0,4.35
-8.8,9.0,12.0,6.0,4.55
1.0,12.0,3.0,2.0,4.5
11.0,7.199999999999999,6.0,3.0,6.8
12.0,-7.8,-8.8,4.0,-0.15000000000000013
7.0,7.0,16.0,5.0,8.75
11.0,-9.8,5.0,9.0,3.8
4.0,6.0,12.0,-7.8,3.55
14.0,-9.8,7.0,18.0,7.3
8.0,-1.0,8.0,7.199999999999999,5.55
7.0,12.0,10.0,-8.8,5.05
12.0,3.3999999999999986,10.0,3.0,7.1
9.0,8.0,35.0,7.399999999999999,14.85
5.199999999999999,4.199999999999999,23.0,19.0,12.85
20.0,0.5999999999999979,24.0,6.0,12.649999999999999
13.0,8.399999999999999,15.0,13.0,12.35
7.599999999999998,7.0,6.0,6.0,6.6499999999999995
-7.8,8.0,8.0,-6.8,0.34999999999999987
7.0,20.0,4.0,9.0,10.0
-8.8,-7.8,5.0,14.0,0.5999999999999996
0.0,2.0,6.399999999999999,8.399999999999999,4.199999999999999
26.6,5.0,11.0,6.0,12.15
10.0,12.0,-8.8,24.0,9.3
3.0,10.0,18.0,8.399999999999999,9.85
-8.8,7.0,25.0,14.0,9.3
6.199999999999999,9.2,-8.8,10.0,4.1499999999999995
5.199999999999999,16.0,19.0,18.0,14.55
18.0,-6.8,10.399999999999999,2.3999999999999986,5.999999999999999
23.0,9.0,1.1999999999999993,6.0,9.8
6.0,4.199999999999999,7.0,7.0,6.05
17.0,-4.8,12.0,5.0,7.3
6.0,6.0,11.0,-8.8,3.55
7.0,15.0,2.3999999999999986,1.3999999999999986,6.449999999999999
-1.0,4.399999999999999,0.0,-8.8,-1.3500000000000005
10.2,3.0,3.0,27.0,10.8
31.400000000000006,8.599999999999998,10.399999999999999,12.0,15.6
18.0,11.0,3.599999999999998,-1.8000000000000007,7.699999999999998
2.0,7.0,20.799999999999997,21.4,12.799999999999999
12.0,53.0,17.0,7.199999999999999,22.3
2.0,8.0,23.0,-1.0,8.0
52.400000000000006,-6.8,14.399999999999999,6.0,16.5
2.1999999999999993,-5.8,8.0,9.0,3.3499999999999996
31.60000000000001,8.399999999999999,3.1999999999999993,21.0,16.05
7.0,16.0,11.2,29.0,15.8
29.200000000000003,4.0,35.0,13.0,20.3
5.199999999999999,11.0,6.199999999999999,12.599999999999998,8.75
-2.8,13.399999999999999,17.799999999999997,17.4,11.45
7.0,14.2,11.0,3.0,8.8
16.4,24.0,15.599999999999998,10.0,16.5
39.2,62.0,7.0,5.0,28.3
5.0,26.400000000000006,41.0,25.60000000000001,24.500000000000004
50.2,13.0,-8.8,-1.8000000000000007,13.150000000000002
6.0,17.0,4.0,16.599999999999998,10.899999999999999
11.0,6.199999999999999,19.2,5.0,10.35
14.2,24.0,4.0,24.0,16.55
9.0,5.0,14.0,41.2,17.3
18.0,23.0,8.399999999999999,12.2,15.399999999999999
8.0,14.0,9.0,5.0,9.0
30.400000000000006,13.0,5.0,18.0,16.6
15.2,12.399999999999999,21.0,0.0,12.149999999999999
6.0,6.0,23.0,6.0,10.25
-0.5999999999999996,8.0,20.0,13.0,10.1
7.399999999999999,21.0,13.599999999999998,8.0,12.5
6.0,3.0,3.3999999999999986,12.2,6.1499999999999995
9.0,14.399999999999999,-7.8,9.0,6.1499999999999995
3.0,26.0,0.1999999999999993,5.199999999999999,8.6
5.0,4.0,2.1999999999999993,-8.8,0.5999999999999996
2.0,3.599999999999998,2.0,17.0,6.1499999999999995
38.400000000000006,10.0,6.0,13.599999999999998,17.0
14.599999999999998,38.0,25.200000000000003,10.0,21.95
28.0,12.0,15.0,23.0,19.5
7.599999999999998,4.199999999999999,10.0,20.0,10.45
13.0,12.399999999999999,7.0,24.6,14.25
3.0,9.0,17.2,5.0,8.55
16.0,21.0,19.4,1.4000000000000004,14.45
9.2,16.2,45.2,35.2,26.45
25.200000000000003,1.1999999999999993,7.199999999999999,15.399999999999999,12.25
36.0,11.0,6.0,15.2,17.05
2.0,34.60000000000001,0.0,6.0,10.650000000000002
18.0,14.599999999999998,10.0,19.0,15.399999999999999
-3.8,14.0,19.0,14.0,10.8
15.599999999999998,16.0,18.0,22.200000000000003,17.95
10.399999999999999,10.399999999999999,17.0,16.4,13.549999999999999
18.2,8.399999999999999,12.0,7.399999999999999,11.499999999999998
8.0,12.399999999999999,12.0,4.0,9.1
7.0,41.0,19.2,16.0,20.8
5.199999999999999,22.599999999999994,7.0,65.2,25.0
11.2,57.0,27.200000000000003,8.399999999999999,25.950000000000003
45.400000000000006,10.0,5.399999999999999,15.799999999999997,19.15
27.400000000000006,48.0,9.0,22.4,26.700000000000003
30.200000000000003,26.200000000000003,26.800000000000004,34.2,29.350000000000005
27.400000000000006,6.399999999999999,7.599999999999998,17.999999999999996,14.850000000000001
26.4,13.2,4.0,11.599999999999998,13.799999999999997
13.399999999999999,6.199999999999999,16.4,7.199999999999999,10.8
7.600000000000001,23.400000000000006,6.399999999999999,9.399999999999999,11.700000000000001
22.200000000000003,2.599999999999998,28.200000000000003,3.3999999999999986,14.1
12.799999999999997,-0.6000000000000014,14.2,5.399999999999999,7.949999999999998
15.599999999999998,16.2,24.4,16.2,18.099999999999998
-1.8000000000000007,22.6,9.0,11.399999999999999,10.3
10.599999999999998,30.200000000000003,24.599999999999994,4.599999999999998,17.499999999999996
11.399999999999999,14.599999999999998,29.0,17.599999999999998,18.15
15.399999999999999,16.999999999999996,10.2,16.4,14.749999999999998
19.0,71.2,22.200000000000003,11.0,30.85
5.599999999999998,7.0,20.0,13.0,11.399999999999999
13.399999999999999,4.399999999999999,39.60000000000001,6.399999999999999,15.950000000000001
15.0,23.599999999999994,8.599999999999998,9.399999999999999,14.149999999999997
10.799999999999997,21.4,7.799999999999997,2.3999999999999986,10.599999999999998
13.0,9.2,7.199999999999999,13.0,10.6
3.3999999999999986,4.199999999999999,9.2,9.2,6.499999999999999
28.60000000000001,16.0,17.4,4.0,16.5
10.399999999999999,15.599999999999998,11.999999999999996,17.599999999999998,13.899999999999999
11.0,8.399999999999999,14.2,42.2,18.95
13.399999999999999,18.4,15.399999999999999,31.200000000000003,19.6
20.4,6.199999999999999,8.599999999999998,7.199999999999999,10.599999999999998
34.0,6.399999999999999,20.4,11.599999999999998,18.099999999999998
12.2,18.4,48.0,52.2,32.7
9.0,16.599999999999998,30.400000000000006,2.0,14.5
11.0,11.2,7.199999999999999,26.400000000000006,13.950000000000001
7.0,17.4,13.599999999999998,15.2,13.3
20.0,12.799999999999997,9.399999999999999,14.2,14.099999999999998
24.200000000000003,8.0,37.2,-1.5999999999999996,16.950000000000003
27.400000000000006,19.2,6.199999999999999,10.399999999999999,15.800000000000002
11.599999999999998,15.0,7.599999999999998,9.399999999999999,10.899999999999999
37.2,20.2,12.2,27.200000000000003,24.200000000000003
11.399999999999999,19.2,23.200000000000003,74.2,32.0
10.399999999999999,12.399999999999999,7.399999999999999,6.0,9.049999999999999
13.2,14.399999999999999,50.2,10.399999999999999,22.049999999999997
18.0,42.60000000000001,6.399999999999999,9.599999999999998,19.15
15.2,12.2,8.2,8.2,10.95
18.2,18.2,25.799999999999997,29.80000000000001,23.0
10.599999999999998,27.4,19.4,18.799999999999997,19.049999999999997
10.599999999999998,26.200000000000003,36.2,12.599999999999998,21.4
9.599999999999998,12.399999999999999,7.0,32.2,15.3
4.399999999999999,13.599999999999998,18.0,11.2,11.8
2.3999999999999986,109.2,27.200000000000003,9.599999999999998,37.1
14.2,7.399999999999999,15.799999999999997,7.199999999999999,11.149999999999999
21.4,36.800000000000004,19.4,7.199999999999999,21.2
10.799999999999997,8.2,6.0,9.2,8.549999999999999
10.399999999999999,29.0,20.2,20.4,20.0
49.2,10.399999999999999,10.2,12.399999999999999,20.549999999999997
45.4,16.599999999999998,10.599999999999998,10.2,20.7
8.2,28.0,18.799999999999997,7.199999999999999,15.55
18.2,6.199999999999999,19.4,23.400000000000006,16.8
6.399999999999999,17.2,10.599999999999998,17.999999999999996,13.049999999999997
4.399999999999999,11.2,7.599999999999998,24.200000000000003,11.85
7.199999999999999,15.399999999999999,13.799999999999997,14.399999999999999,12.699999999999998
8.599999999999998,57.400000000000006,-0.8000000000000007,13.399999999999999,19.65
37.2,1.3999999999999986,12.799999999999997,11.599999999999998,15.75
6.399999999999999,8.599999999999998,10.799999999999997,0.5999999999999979,6.599999999999998
11.399999999999999,38.599999999999994,36.4,12.2,24.65
6.399999999999999,90.2,43.400000000000006,35.0,43.75
20.2,86.2,8.399999999999999,11.2,31.500000000000004
20.4,9.799999999999997,13.2,21.2,16.15
13.399999999999999,20.4,16.2,2.3999999999999986,13.1
15.2,76.4,8.399999999999999,5.399999999999999,26.35
12.399999999999999,26.4,50.2,17.999999999999996,26.75
8.399999999999999,20.4,21.599999999999998,23.200000000000003,18.4
27.200000000000003,11.399999999999999,19.4,3.599999999999998,15.399999999999999
8.399999999999999,8.599999999999998,6.399999999999999,17.4,10.2
17.4,26.200000000000003,39.2,13.599999999999998,24.1
6.799999999999997,26.200000000000003,12.399999999999999,16.599999999999998,15.5
11.599999999999998,15.399999999999999,25.599999999999994,8.599999999999998,15.299999999999997
0.5999999999999979,9.399999999999999,12.799999999999997,9.0,7.949999999999998
9.599999999999998,53.400000000000006,0.3999999999999986,8.399999999999999,17.95
12.599999999999998,8.399999999999999,8.2,8.399999999999999,9.399999999999999
30.0,47.2,69.2,14.799999999999997,40.3
27.200000000000003,15.399999999999999,6.399999999999999,8.399999999999999,14.35
18.2,26.400000000000006,14.399999999999999,8.2,16.8
6.799999999999997,6.199999999999999,14.2,8.599999999999998,8.95
17.799999999999997,27.799999999999997,16.599999999999998,73.2,33.849999999999994
35.2,13.2,59.2,10.399999999999999,29.5
11.399999999999999,26.4,8.399999999999999,17.599999999999998,15.95
13.799999999999997,7.199999999999999,12.0,9.599999999999998,10.649999999999999
15.2,11.399999999999999,18.4,30.400000000000006,18.85
18.999999999999996,16.0,14.2,94.4,35.900000000000006
24.400000000000006,91.2,28.200000000000003,35.80000000000001,44.900000000000006
9.399999999999999,6.199999999999999,7.199999999999999,10.599999999999998,8.349999999999998
3.1999999999999993,14.599999999999998,5.799999999999997,25.4,12.249999999999998
4.399999999999999,9.2,14.999999999999996,15.799999999999997,11.099999999999998
22.799999999999997,62.2,22.599999999999994,22.0,32.4
11.399999999999999,18.599999999999998,16.599999999999998,8.399999999999999,13.749999999999998
9.599999999999998,8.2,10.399999999999999,9.2,9.349999999999998
24.599999999999994,9.599999999999998,8.399999999999999,39.2,20.449999999999996
17.4,10.399999999999999,17.599999999999998,11.599999999999998,14.249999999999996
20.599999999999998,38.2,7.399999999999999,12.799999999999997,19.749999999999996
60.2,22.60000000000001,11.799999999999997,8.799999999999997,25.85
21.4,17.799999999999997,7.9999999999999964,15.799999999999997,15.749999999999996
8.399999999999999,10.799999999999997,4.399999999999999,29.0,13.149999999999999
12.399999999999999,6.599999999999998,20.799999999999997,18.4,14.549999999999999
7.399999999999999,11.599999999999998,18.4,23.6,15.249999999999998
10.2,38.2,18.2,7.599999999999998,18.55
9.799999999999997,18.599999999999998,26.599999999999994,12.399999999999999,16.849999999999994
50.60000000000001,15.2,122.2,14.599999999999998,50.65
14.399999999999999,8.399999999999999,8.2,20.2,12.799999999999999
6.199999999999999,18.599999999999998,11.599999999999998,14.2,12.649999999999999
11.599999999999998,20.4,29.200000000000003,14.799999999999997,19.0
53.2,23.799999999999997,9.2,16.599999999999998,25.7
20.4,13.2,11.599999999999998,117.2,40.599999999999994
13.399999999999999,5.599999999999998,19.599999999999998,6.399999999999999,11.249999999999998
7.599999999999998,10.599999999999998,23.799999999999997,22.200000000000003,16.049999999999997
17.599999999999998,99.2,10.2,7.599999999999998,33.65
18.799999999999997,63.2,25.599999999999994,11.599999999999998,29.799999999999997
9.399999999999999,23.599999999999994,58.2,104.4,48.9
20.2,10.399999999999999,24.6,10.599999999999998,16.45
26.800000000000004,-4.8,15.399999999999999,42.2,19.900000000000002
15.599999999999998,76.4,10.2,2.1999999999999993,26.1
13.399999999999999,6.799999999999997,84.2,18.799999999999997,30.8
