step,env_0,env_1,env_2,env_4,Mean reward
0,1.0,0.0,0.0,1.0,0.5
1,1.0,0.0,0.0,1.0,0.5
2,1.0,1.0,0.0,1.0,0.75
3,1.0,1.0,0.0,1.0,0.75
4,1.0,1.0,0.0,1.0,0.75
5,1.0,1.0,0.0,1.0,0.75
6,1.0,1.0,0.0,1.0,0.75
7,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0
10,2.0,2.0,2.0,1.0,1.75
11,2.0,2.0,2.0,2.0,2.0
12,2.0,2.0,2.0,2.0,2.0
13,2.0,2.0,2.0,2.0,2.0
14,2.0,2.0,2.0,2.0,2.0
15,2.0,2.0,2.0,2.0,2.0
16,2.0,2.0,2.0,2.0,2.0
17,2.0,2.0,2.0,2.0,2.0
18,2.0,2.0,2.0,2.0,2.0
19,2.0,2.0,2.0,2.0,2.0
20,2.0,2.0,2.0,2.0,2.0
21,2.0,2.0,2.0,2.0,2.0
22,2.0,2.0,2.0,2.0,2.0
23,2.0,2.0,2.0,2.0,2.0
24,2.0,2.0,2.0,2.0,2.0
25,2.0,2.0,2.0,2.0,2.0
26,2.0,2.0,2.0,2.0,2.0
27,2.0,2.0,2.0,2.0,2.0
28,2.0,2.0,2.0,2.0,2.0
29,2.0,2.0,2.0,2.0,2.0
30,2.0,2.0,2.0,2.0,2.0
31,2.0,2.0,2.0,2.0,2.0
32,2.0,2.0,2.0,2.0,2.0
33,2.0,2.0,2.0,2.0,2.0
34,2.0,2.0,2.0,2.0,2.0
35,2.0,2.0,2.0,2.0,2.0
36,2.0,2.0,2.0,2.0,2.0
37,2.0,2.0,2.0,2.0,2.0
38,2.0,2.0,2.0,2.0,2.0
39,2.0,2.0,2.0,2.0,2.0
40,3.0,2.0,2.0,2.0,2.25
41,3.0,2.0,2.0,3.0,2.5
42,3.0,2.0,2.0,3.0,2.5
43,3.0,2.0,2.0,3.0,2.5
44,3.0,2.0,2.0,3.0,2.5
45,3.0,2.0,2.0,3.0,2.5
46,3.0,2.0,2.0,3.0,2.5
47,3.0,2.0,2.0,3.0,2.5
48,3.0,2.0,2.0,3.0,2.5
49,3.0,2.0,2.0,3.0,2.5
50,4.0,2.0,2.0,3.0,2.75
51,4.0,2.0,2.0,4.0,3.0
52,4.0,2.0,2.0,4.0,3.0
53,4.0,2.0,2.0,4.0,3.0
54,4.0,3.0,2.0,4.0,3.25
55,4.0,3.0,2.0,4.0,3.25
56,4.0,3.0,2.0,4.0,3.25
57,4.0,3.0,3.0,4.0,3.5
58,4.0,3.0,3.0,4.0,3.5
59,4.0,3.0,3.0,4.0,3.5
60,4.0,3.0,3.0,4.0,3.5
61,5.0,3.0,3.0,5.0,4.0
62,5.0,3.0,3.0,5.0,4.0
63,5.0,3.0,3.0,5.0,4.0
64,5.0,3.0,3.0,5.0,4.0
65,5.0,3.0,3.0,5.0,4.0
66,5.0,3.0,3.0,5.0,4.0
67,5.0,3.0,3.0,5.0,4.0
68,5.0,3.0,3.0,5.0,4.0
69,5.0,3.0,3.0,5.0,4.0
70,5.0,3.0,3.0,5.0,4.0
71,5.0,3.0,3.0,5.0,4.0
72,5.0,3.0,3.0,5.0,4.0
73,5.0,3.0,3.0,5.0,4.0
74,5.0,3.0,3.0,5.0,4.0
75,5.0,3.0,3.0,5.0,4.0
76,5.0,3.0,3.0,5.0,4.0
77,5.0,3.0,3.0,5.0,4.0
78,5.0,4.0,3.0,5.0,4.25
79,5.0,4.0,3.0,5.0,4.25
80,5.0,4.0,3.0,5.0,4.25
81,5.0,4.0,3.0,6.0,4.5
82,5.0,4.0,3.0,6.0,4.5
83,5.0,4.0,3.0,6.0,4.5
84,5.0,4.0,3.0,6.0,4.5
85,5.0,4.0,3.0,6.0,4.5
86,5.0,4.0,3.0,6.0,4.5
87,5.0,4.0,3.0,6.0,4.5
88,5.0,4.0,3.0,6.0,4.5
89,5.0,4.0,3.0,6.0,4.5
90,5.0,4.0,3.0,6.0,4.5
91,6.0,4.0,3.0,6.0,4.75
92,6.0,4.0,3.0,6.0,4.75
93,6.0,4.0,4.0,6.0,5.0
94,6.0,4.0,4.0,6.0,5.0
95,6.0,4.0,4.0,6.0,5.0
96,6.0,4.0,4.0,7.0,5.25
97,6.0,4.0,4.0,7.0,5.25
98,6.0,4.0,4.0,7.0,5.25
99,6.0,5.0,4.0,7.0,5.5
100,6.0,5.0,4.0,7.0,5.5
101,7.0,5.0,4.0,7.0,5.75
102,7.0,5.0,4.0,8.0,6.0
103,7.0,5.0,4.0,8.0,6.0
104,7.0,5.0,4.0,8.0,6.0
105,7.0,5.0,4.0,8.0,6.0
106,7.0,6.0,4.0,8.0,6.25
107,7.0,6.0,4.0,8.0,6.25
108,7.0,6.0,5.0,8.0,6.5
109,7.0,6.0,5.0,8.0,6.5
110,7.0,6.0,5.0,8.0,6.5
111,8.0,6.0,5.0,8.0,6.75
112,8.0,6.0,5.0,8.0,6.75
113,8.0,6.0,5.0,8.0,6.75
114,8.0,6.0,6.0,8.0,7.0
115,8.0,6.0,6.0,8.0,7.0
116,8.0,6.0,6.0,8.0,7.0
117,8.0,6.0,6.0,8.0,7.0
118,8.0,6.0,6.0,9.0,7.25
119,8.0,6.0,6.0,9.0,7.25
120,8.0,6.0,6.0,9.0,7.25
121,8.0,6.0,6.0,9.0,7.25
122,8.0,6.0,6.0,9.0,7.25
123,8.0,6.0,6.0,9.0,7.25
124,8.0,6.0,6.0,9.0,7.25
125,8.0,6.0,6.0,9.0,7.25
126,8.0,6.0,6.0,9.0,7.25
127,8.0,6.0,6.0,9.0,7.25
128,8.0,6.0,6.0,9.0,7.25
129,8.0,6.0,6.0,9.0,7.25
130,8.0,7.0,6.0,9.0,7.5
131,8.0,7.0,6.0,9.0,7.5
132,8.0,7.0,6.0,9.0,7.5
133,8.0,7.0,6.0,9.0,7.5
134,8.0,8.0,6.0,9.0,7.75
135,8.0,8.0,6.0,10.0,8.0
136,8.0,8.0,6.0,10.0,8.0
137,8.0,8.0,6.0,10.0,8.0
138,8.0,8.0,6.0,10.0,8.0
139,8.0,8.0,6.0,10.0,8.0
140,8.0,8.0,6.0,10.0,8.0
141,8.0,8.0,6.0,10.0,8.0
142,9.0,8.0,6.0,10.0,8.25
143,9.0,8.0,6.0,10.0,8.25
144,9.0,8.0,6.0,10.0,8.25
145,9.0,8.0,6.0,10.0,8.25
146,9.0,8.0,7.0,10.0,8.5
147,9.0,8.0,7.0,10.0,8.5
148,9.0,8.0,7.0,10.0,8.5
149,9.0,8.0,7.0,10.0,8.5
150,9.0,8.0,7.0,10.0,8.5
151,9.0,8.0,7.0,10.0,8.5
152,9.0,8.0,7.0,12.0,9.0
153,9.0,8.0,7.0,13.0,9.25
154,9.0,8.0,7.0,13.0,9.25
155,9.0,8.0,7.0,13.0,9.25
156,9.0,8.0,7.0,13.0,9.25
157,10.0,9.0,7.0,13.0,9.75
158,10.0,9.0,8.0,13.0,10.0
